name,gt,pred,tp,fp,fn,mean_iou,errors
fypcv_8b60a68218669d.jpg,1,1,1,0,0,0.854,0
fypcv_8d5992836248e0.jpg,1,1,1,0,0,0.941,0
fypcv_8da546923930c7.jpg,1,1,1,0,0,0.931,0
fypcv_8e151921b8b2d3.jpg,1,2,1,1,0,0.794,1
fypcv_8ea8eb233b89f0.jpg,1,1,1,0,0,0.786,0
fypcv_8f5fd4cd04d687.jpg,1,1,1,0,0,0.866,0
fypcv_9139f9a071f980.jpg,4,2,1,1,3,0.873,4
fypcv_91420d2fb410b3.jpg,1,1,1,0,0,0.757,0
fypcv_93d131c80e7aeb.jpg,1,1,1,0,0,0.956,0
fypcv_94baaaa45bd472.jpg,0,0,0,0,0,0.0,0
fypcv_961850750d4123.jpg,1,1,1,0,0,0.665,0
fypcv_98439695122b66.jpg,1,1,1,0,0,0.919,0
fypcv_9862754539b7e6.jpg,1,0,0,0,1,0.0,1
fypcv_988356043c4d09.jpg,1,1,1,0,0,0.864,0
fypcv_9a3e9833419f78.jpg,1,1,1,0,0,0.838,0
fypcv_9bfcec3db57845.jpg,1,2,1,1,0,0.888,1
fypcv_9eb0c9e7eb0504.jpg,1,1,1,0,0,0.744,0
fypcv_9ef0efec0354d1.jpg,1,1,1,0,0,0.604,0
fypcv_9faf8461fc378f.jpg,1,1,1,0,0,0.882,0
fypcv_a05b62494c5de3.jpg,0,0,0,0,0,0.0,0
fypcv_a191eb7a2e17f6.jpg,1,1,1,0,0,0.81,0
fypcv_a4cbf3b9dc9abd.jpg,0,0,0,0,0,0.0,0
fypcv_a70d955b0b4f6f.jpg,0,0,0,0,0,0.0,0
fypcv_ab07e13a1ba82c.jpg,0,0,0,0,0,0.0,0
fypcv_abd45196ed2bb1.jpg,0,0,0,0,0,0.0,0
fypcv_ad0a67e0eb9b36.jpg,0,1,0,1,0,0.0,1
fypcv_b05f3d82e8cea3.jpg,0,0,0,0,0,0.0,0
fypcv_b1ef5558a204a3.jpg,0,0,0,0,0,0.0,0
smart_0d292e64e27459.jpg,1,1,1,0,0,0.897,0
smart_177372ae975a69.jpg,1,1,1,0,0,0.653,0
smart_1e72cc6e6d2bd9.jpg,1,1,1,0,0,0.796,0
smart_26ad113b1c4c24.jpg,1,2,0,2,1,0.0,3
smart_2bd9fe49e2068e.jpg,1,1,0,1,1,0.0,2
smart_481bfe8f77ee57.jpg,1,2,1,1,0,0.83,1
smart_7f409304232903.jpg,1,1,1,0,0,0.705,0
smart_945079a7df33b9.jpg,1,1,1,0,0,0.664,0
smart_954ce691a5f045.jpg,1,1,1,0,0,0.673,0
smart_a9ee42f51d6baf.jpg,2,2,2,0,0,0.835,0
smart_ab8b2aece6cd49.jpg,1,1,1,0,0,0.673,0
smart_c04b787045382c.jpg,1,0,0,0,1,0.0,1
smart_c87df40f83cb73.jpg,1,1,1,0,0,0.538,0
smart_d40aaccca27733.jpg,1,1,1,0,0,0.669,0
smart_fa40fd54a3b4f0.jpg,4,4,1,3,3,0.55,6
