epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,628.419,0.99411,0.71037,1.1761,0.87689,0.87113,0.90947,0.63221,1.24236,0.69749,1.36776,0.0006338,0.0006338,0.0006338
71,636.3,0.96386,0.67165,1.15282,0.8691,0.86082,0.90764,0.62707,1.2748,0.73219,1.39238,0.000614,0.000614,0.000614
72,644.179,0.97352,0.69591,1.16027,0.88088,0.84536,0.91381,0.64786,1.27127,0.70366,1.38912,0.0005942,0.0005942,0.0005942
73,652.636,0.97503,0.69307,1.18443,0.85506,0.88189,0.90785,0.62252,1.31279,0.68716,1.41695,0.0005744,0.0005744,0.0005744
74,664.332,0.92196,0.67811,1.14205,0.91548,0.81443,0.90392,0.62045,1.33039,0.7166,1.42696,0.0005546,0.0005546,0.0005546
75,675.663,0.95876,0.67409,1.16377,0.8652,0.86598,0.91949,0.62841,1.28498,0.71511,1.41374,0.0005348,0.0005348,0.0005348
76,684.422,0.89351,0.63245,1.12003,0.91657,0.84943,0.92239,0.65104,1.20795,0.70679,1.36779,0.000515,0.000515,0.000515
77,692.604,0.93107,0.64217,1.13649,0.89799,0.86213,0.92428,0.62488,1.30466,0.73202,1.43257,0.0004952,0.0004952,0.0004952
78,700.079,0.92661,0.63672,1.13116,0.93332,0.79897,0.92047,0.63325,1.23569,0.74347,1.38631,0.0004754,0.0004754,0.0004754
79,708.466,0.93703,0.63916,1.13362,0.85876,0.86598,0.91696,0.6266,1.2392,0.72487,1.3893,0.0004556,0.0004556,0.0004556
80,719.75,0.88521,0.59492,1.11237,0.87077,0.8866,0.92557,0.63806,1.24159,0.70272,1.37589,0.0004358,0.0004358,0.0004358
81,729.618,0.89623,0.63063,1.13246,0.86627,0.89691,0.91945,0.63463,1.24819,0.71182,1.39257,0.000416,0.000416,0.000416
82,739.866,0.85587,0.59057,1.10439,0.87388,0.85718,0.91242,0.63864,1.2632,0.70088,1.4151,0.0003962,0.0003962,0.0003962
83,748.559,0.86977,0.61572,1.10419,0.8762,0.87561,0.9312,0.64992,1.27582,0.68597,1.39432,0.0003764,0.0003764,0.0003764
84,756.861,0.8818,0.59571,1.10818,0.91204,0.83505,0.91828,0.62233,1.24749,0.68312,1.38902,0.0003566,0.0003566,0.0003566
85,765.669,0.86015,0.59145,1.10723,0.89447,0.8738,0.92642,0.65144,1.21599,0.68557,1.37308,0.0003368,0.0003368,0.0003368
86,774.833,0.87682,0.58774,1.11977,0.85348,0.90079,0.92073,0.64861,1.26812,0.71981,1.42978,0.000317,0.000317,0.000317
87,783.499,0.87367,0.59157,1.11036,0.9171,0.85541,0.93203,0.65078,1.22198,0.70897,1.37633,0.0002972,0.0002972,0.0002972
88,791.753,0.84836,0.57549,1.09969,0.92994,0.86082,0.93692,0.6533,1.20439,0.69099,1.38412,0.0002774,0.0002774,0.0002774
89,802.393,0.83068,0.56244,1.0855,0.84106,0.87287,0.91903,0.64233,1.22222,0.7432,1.40815,0.0002576,0.0002576,0.0002576
90,812.093,0.80888,0.54343,1.08136,0.926,0.83854,0.92313,0.63909,1.22341,0.69039,1.38882,0.0002378,0.0002378,0.0002378
91,839.93,0.74282,0.46371,1.04907,0.90482,0.84536,0.92817,0.64316,1.186,0.65039,1.35938,0.000218,0.000218,0.000218
92,852.224,0.71981,0.43664,1.02276,0.90194,0.85344,0.93029,0.64777,1.23391,0.65956,1.39589,0.0001982,0.0001982,0.0001982
93,866.013,0.69462,0.42878,1.02406,0.8779,0.87629,0.91848,0.65521,1.2166,0.63852,1.38481,0.0001784,0.0001784,0.0001784
94,879.347,0.66362,0.40062,0.99409,0.87191,0.87113,0.92176,0.65154,1.21094,0.64759,1.39702,0.0001586,0.0001586,0.0001586
95,892.86,0.67045,0.39912,1.00714,0.86652,0.91237,0.92925,0.65819,1.17933,0.63817,1.36389,0.0001388,0.0001388,0.0001388
96,906.382,0.67922,0.39749,1.00621,0.85352,0.90722,0.92126,0.65602,1.17801,0.65012,1.37061,0.000119,0.000119,0.000119
97,919.864,0.65818,0.39611,0.99347,0.94312,0.81959,0.92408,0.64868,1.17942,0.62881,1.37313,9.92e-05,9.92e-05,9.92e-05
98,933.398,0.64699,0.39065,0.99895,0.93406,0.81959,0.92044,0.64749,1.18172,0.62451,1.3696,7.94e-05,7.94e-05,7.94e-05
99,946.623,0.66674,0.39117,1.00524,0.9511,0.82474,0.92472,0.64869,1.18907,0.63297,1.3726,5.96e-05,5.96e-05,5.96e-05
100,960.039,0.64424,0.38073,0.99661,0.90596,0.85567,0.92412,0.64983,1.18391,0.63416,1.36997,3.98e-05,3.98e-05,3.98e-05
